ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,fecha_extraccion,codigo_tiempo,temperatura_fahrenheit,fecha_transformacion
Bogota,Colombia,4.6,-74.083,19,19,68,4,"Light Rain, Rain Shower",2026-03-06T16:52:06.617192,296,66.2,2026-03-06 17:03:25.941037
Medellin,Colombia,6.291,-75.536,19,19,68,4,Partly cloudy,2026-03-06T16:52:08.781150,116,66.2,2026-03-06 17:03:25.941037
Cali,Colombia,3.437,-76.523,25,27,77,4,Patchy rain nearby,2026-03-06T16:52:11.191589,176,77.0,2026-03-06 17:03:25.941037
Barranquilla,Colombia,10.964,-74.796,30,35,66,35,Sunny,2026-03-06T16:52:13.822971,113,86.0,2026-03-06 17:03:25.941037
Cartagena,Colombia,10.4,-75.514,31,38,66,31,Sunny,2026-03-06T16:52:16.307399,113,87.8,2026-03-06 17:03:25.941037
